year,state,month,number,day
2013,Alagoas,10,25,1
2014,Alagoas,10,7,1
2015,Alagoas,10,40,1
2016,Alagoas,10,74,1
2017,Alagoas,10,14,1
1998,Alagoas,11,19,1
1999,Alagoas,11,15,1
2000,Alagoas,11,2,1
2001,Alagoas,11,22,1
2002,Alagoas,11,50,1
2003,Alagoas,11,17,1
2004,Alagoas,11,28,1
2005,Alagoas,11,25,1
2006,Alagoas,11,12,1
2007,Alagoas,11,15,1
2008,Alagoas,11,37,1
2009,Alagoas,11,55,1
2010,Alagoas,11,31,1
2011,Alagoas,11,23,1
2012,Alagoas,11,95,1
2013,Alagoas,11,10,1
2014,Alagoas,11,14,1
2015,Alagoas,11,162,1
2016,Alagoas,11,76,1
2017,Alagoas,11,10,1
1998,Alagoas,12,32,1
1999,Alagoas,12,12,1
2000,Alagoas,12,2,1
2001,Alagoas,12,30,1
2002,Alagoas,12,95,1
2003,Alagoas,12,43,1
2004,Alagoas,12,71,1
2005,Alagoas,12,16,1
2006,Alagoas,12,30,1
2007,Alagoas,12,33,1
2008,Alagoas,12,34,1
2009,Alagoas,12,55,1
2010,Alagoas,12,45,1
2011,Alagoas,12,50,1
2012,Alagoas,12,59,1
2013,Alagoas,12,42,1
2014,Alagoas,12,24,1
2015,Alagoas,12,136,1
2016,Alagoas,12,155,1
1998,Amapa,1,0,1
1999,Amapa,1,0,1
2000,Amapa,1,2,1
2001,Amapa,1,0,1
2002,Amapa,1,7,1
2003,Amapa,1,31,1
2004,Amapa,1,38,1
2005,Amapa,1,109,1
2006,Amapa,1,6,1
2007,Amapa,1,0,1
2008,Amapa,1,2,1
2009,Amapa,1,4,1
2010,Amapa,1,2,1
2011,Amapa,1,0,1
2012,Amapa,1,30,1
2013,Amapa,1,3,1
2014,Amapa,1,10,1
2015,Amapa,1,14,1
2016,Amapa,1,19,1
2017,Amapa,1,2,1
1998,Amapa,2,0,1
1999,Amapa,2,1,1
2000,Amapa,2,0,1
2001,Amapa,2,0,1
