state,month,incidents,year,region,Amazonia,Cerrado,Caatinga,Pantanal,Mata Atlantica,Pampa,latitude_mean,longitude_mean,la nina,el nino
rio grande do norte,6,6,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-5.656081140350882,-36.93262061403506,0,1
rio grande do norte,7,8,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-5.656081140350882,-36.93262061403506,0,1
rio grande do norte,8,47,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-5.656081140350882,-36.93262061403506,0,1
rio grande do norte,9,71,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-5.656081140350882,-36.93262061403506,0,1
rio grande do norte,10,87,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-5.656081140350882,-36.93262061403506,0,1
rio grande do norte,11,128,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-5.656081140350882,-36.93262061403506,0,1
rio grande do norte,3,12,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-5.656081140350882,-36.93262061403506,0,1
rio grande do norte,12,64,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-5.656081140350882,-36.93262061403506,0,1
sergipe,1,14,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-10.664807142857141,-37.26618571428571,0,1
sergipe,2,18,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-10.664807142857141,-37.26618571428571,0,1
sergipe,4,13,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-10.664807142857141,-37.26618571428571,0,1
sergipe,5,1,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-10.664807142857141,-37.26618571428571,0,1
sergipe,6,2,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-10.664807142857141,-37.26618571428571,0,1
sergipe,7,2,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-10.664807142857141,-37.26618571428571,0,1
sergipe,8,5,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-10.664807142857141,-37.26618571428571,0,1
sergipe,9,2,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-10.664807142857141,-37.26618571428571,0,1
sergipe,10,16,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-10.664807142857141,-37.26618571428571,0,1
sergipe,11,16,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-10.664807142857141,-37.26618571428571,0,1
sergipe,3,22,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-10.664807142857141,-37.26618571428571,0,1
sergipe,12,29,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-10.664807142857141,-37.26618571428571,0,1
alagoas,1,17,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-9.462014925373134,-36.068373134328375,0,1
alagoas,2,16,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-9.462014925373134,-36.068373134328375,0,1
alagoas,4,2,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-9.462014925373134,-36.068373134328375,0,1
alagoas,5,0,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-9.462014925373134,-36.068373134328375,0,1
alagoas,6,6,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-9.462014925373134,-36.068373134328375,0,1
alagoas,7,0,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-9.462014925373134,-36.068373134328375,0,1
alagoas,8,12,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-9.462014925373134,-36.068373134328375,0,1
alagoas,9,7,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-9.462014925373134,-36.068373134328375,0,1
alagoas,10,52,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-9.462014925373134,-36.068373134328375,0,1
alagoas,11,41,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-9.462014925373134,-36.068373134328375,0,1
alagoas,3,13,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-9.462014925373134,-36.068373134328375,0,1
alagoas,12,35,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-9.462014925373134,-36.068373134328375,0,1
paraiba,1,42,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-7.056249011857702,-37.22254940711466,0,1
paraiba,2,3,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-7.056249011857702,-37.22254940711466,0,1
paraiba,4,4,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-7.056249011857702,-37.22254940711466,0,1
paraiba,5,1,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-7.056249011857702,-37.22254940711466,0,1
paraiba,6,1,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-7.056249011857702,-37.22254940711466,0,1
paraiba,7,3,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-7.056249011857702,-37.22254940711466,0,1
paraiba,8,45,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-7.056249011857702,-37.22254940711466,0,1
paraiba,9,70,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-7.056249011857702,-37.22254940711466,0,1
paraiba,10,209,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-7.056249011857702,-37.22254940711466,0,1
paraiba,11,185,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-7.056249011857702,-37.22254940711466,0,1
paraiba,3,3,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-7.056249011857702,-37.22254940711466,0,1
paraiba,12,193,2018,nordeste,0.0,0.0,1.0,0.0,1.0,0.0,-7.056249011857702,-37.22254940711466,0,1
bahia,1,102,2018,nordeste,0.0,1.0,1.0,0.0,1.0,0.0,-12.866182001614217,-42.72301997578697,0,1
bahia,2,45,2018,nordeste,0.0,1.0,1.0,0.0,1.0,0.0,-12.866182001614217,-42.72301997578697,0,1
bahia,4,71,2018,nordeste,0.0,1.0,1.0,0.0,1.0,0.0,-12.866182001614217,-42.72301997578697,0,1
bahia,5,101,2018,nordeste,0.0,1.0,1.0,0.0,1.0,0.0,-12.866182001614217,-42.72301997578697,0,1
bahia,6,190,2018,nordeste,0.0,1.0,1.0,0.0,1.0,0.0,-12.866182001614217,-42.72301997578697,0,1
bahia,7,281,2018,nordeste,0.0,1.0,1.0,0.0,1.0,0.0,-12.866182001614217,-42.72301997578697,0,1
bahia,8,477,2018,nordeste,0.0,1.0,1.0,0.0,1.0,0.0,-12.866182001614217,-42.72301997578697,0,1
bahia,9,1930,2018,nordeste,0.0,1.0,1.0,0.0,1.0,0.0,-12.866182001614217,-42.72301997578697,0,1
bahia,10,1345,2018,nordeste,0.0,1.0,1.0,0.0,1.0,0.0,-12.866182001614217,-42.72301997578697,0,1
bahia,11,169,2018,nordeste,0.0,1.0,1.0,0.0,1.0,0.0,-12.866182001614217,-42.72301997578697,0,1
bahia,3,126,2018,nordeste,0.0,1.0,1.0,0.0,1.0,0.0,-12.866182001614217,-42.72301997578697,0,1
bahia,12,119,2018,nordeste,0.0,1.0,1.0,0.0,1.0,0.0,-12.866182001614217,-42.72301997578697,0,1
minas gerais,1,62,2018,centro-oeste,0.0,1.0,1.0,0.0,1.0,0.0,-18.140851955910918,-44.568473308839536,0,1
minas gerais,2,60,2018,centro-oeste,0.0,1.0,1.0,0.0,1.0,0.0,-18.140851955910918,-44.568473308839536,0,1
minas gerais,4,56,2018,centro-oeste,0.0,1.0,1.0,0.0,1.0,0.0,-18.140851955910918,-44.568473308839536,0,1
minas gerais,5,153,2018,centro-oeste,0.0,1.0,1.0,0.0,1.0,0.0,-18.140851955910918,-44.568473308839536,0,1
minas gerais,6,201,2018,centro-oeste,0.0,1.0,1.0,0.0,1.0,0.0,-18.140851955910918,-44.568473308839536,0,1
minas gerais,7,557,2018,centro-oeste,0.0,1.0,1.0,0.0,1.0,0.0,-18.140851955910918,-44.568473308839536,0,1
minas gerais,8,553,2018,centro-oeste,0.0,1.0,1.0,0.0,1.0,0.0,-18.140851955910918,-44.568473308839536,0,1
